"","Zone_ID","Zone","comparison","yld_response","low","medium","high","high_vs_low","high_vs_medium","medium_vs_low","Significant","P_value","paddock_ID","Strip_Type","input_file","ID_analysis_1","av_rain","more_info"
"11",317221,"Low","high_v_medium","negative",5.808288,6.49681428571429,6.27696538461538,0.468677384615384,-0.219848901098901,0.688526285714286,"not significant",0.239498814496265,31722,"P Strip","Dougs2_SegID_Zone.csv","317221_P Strip_high_v_medium",437,"all good"
"12",317221,"Low","medium_v_low","positive",5.808288,6.49681428571429,6.27696538461538,0.468677384615384,-0.219848901098901,0.688526285714286,"significant",0.00240813525365893,31722,"P Strip","Dougs2_SegID_Zone.csv","317221_P Strip_medium_v_low",437,"all good"
"13",522140,"Zone1","high_v_low","positive",4.64252873563218,4.93188405797101,5.02840909090909,0.385880355276907,0.096525032938076,0.289355322338831,"significant",0.0150395880865377,52214,"P Strip","Clarke_Fosters_Yld_SegID.csv","522140_P Strip_high_v_low",492,"all good"
"14",522140,"Zone1","high_v_medium","positive",4.64252873563218,4.93188405797101,5.02840909090909,0.385880355276907,0.096525032938076,0.289355322338831,"not significant",0.439738380244011,52214,"P Strip","Clarke_Fosters_Yld_SegID.csv","522140_P Strip_high_v_medium",492,"all good"
"15",522140,"Zone1","medium_v_low","positive",4.64252873563218,4.93188405797101,5.02840909090909,0.385880355276907,0.096525032938076,0.289355322338831,"significant",0.0031051898920332,52214,"P Strip","Clarke_Fosters_Yld_SegID.csv","522140_P Strip_medium_v_low",492,"all good"
"16",522141,NA,"high_v_low","positive",4.24285714285714,4.99230769230769,4.4,0.157142857142857,-0.592307692307692,0.749450549450549,NA,NA,52214,"P Strip","Clarke_Fosters_Yld_SegID.csv","522141_P Strip_high_v_low",492,"all good"
"17",522141,NA,"high_v_medium","negative",4.24285714285714,4.99230769230769,4.4,0.157142857142857,-0.592307692307692,0.749450549450549,NA,NA,52214,"P Strip","Clarke_Fosters_Yld_SegID.csv","522141_P Strip_high_v_medium",492,"all good"
"18",522141,NA,"medium_v_low","positive",4.24285714285714,4.99230769230769,4.4,0.157142857142857,-0.592307692307692,0.749450549450549,NA,NA,52214,"P Strip","Clarke_Fosters_Yld_SegID.csv","522141_P Strip_medium_v_low",492,"all good"
"19",522160,"Zone1","high_v_low","positive",2.96074074074074,4.08869565217391,4.62260869565217,1.66186795491143,0.533913043478261,1.12795491143317,"significant",9.05590563901464e-10,52216,"P Strip","Clarke_Well_Yld_SegID_Zone.csv","522160_P Strip_high_v_low",492,"all good"
"20",522160,"Zone1","high_v_medium","positive",2.96074074074074,4.08869565217391,4.62260869565217,1.66186795491143,0.533913043478261,1.12795491143317,"significant",8.03182165059341e-05,52216,"P Strip","Clarke_Well_Yld_SegID_Zone.csv","522160_P Strip_high_v_medium",492,"all good"
"21",522160,"Zone1","medium_v_low","positive",2.96074074074074,4.08869565217391,4.62260869565217,1.66186795491143,0.533913043478261,1.12795491143317,"significant",5.07502735853279e-08,52216,"P Strip","Clarke_Well_Yld_SegID_Zone.csv","522160_P Strip_medium_v_low",492,"all good"
"22",522161,"Zone2","high_v_low","positive",2.74621848739496,3.71612903225806,3.20597014925373,0.459751661858773,-0.510158883004333,0.969910544863107,"significant",2.46411976221414e-06,52216,"P Strip","Clarke_Well_Yld_SegID_Zone.csv","522161_P Strip_high_v_low",492,"all good"
"23",522161,"Zone2","high_v_medium","negative",2.74621848739496,3.71612903225806,3.20597014925373,0.459751661858773,-0.510158883004333,0.969910544863107,"significant",7.60456772292935e-06,52216,"P Strip","Clarke_Well_Yld_SegID_Zone.csv","522161_P Strip_high_v_medium",492,"all good"
"24",522161,"Zone2","medium_v_low","positive",2.74621848739496,3.71612903225806,3.20597014925373,0.459751661858773,-0.510158883004333,0.969910544863107,"significant",2.63683416429844e-07,52216,"P Strip","Clarke_Well_Yld_SegID_Zone.csv","522161_P Strip_medium_v_low",492,"all good"
